rating,kast,impact,firepower,kpr,apr,dpr,kd,adr,0kpr,1kpr,2kpr,3kpr,4kpr,5kpr
1.09,72.3,1.11,66,0.6882125980838427,0.19,0.6680972818311874,1.0301083641554734,77.3,0.5309749859106082,0.30090605627086314,0.12550396670568345,0.034768283695322325,0.007239779771968613,0.000606927645554255
0.99,68.8,1.05,64,0.6852074471364281,0.17,0.6923586708587633,0.989671215190437,76.4,0.5371894457801615,0.29588188151162076,0.12107761543677949,0.03762098514271623,0.007490290364342519,0.000739781764379508
1.02,70.3,1.05,47,0.6454028567466371,0.19,0.7068367771460269,0.9130861290955464,73.8,0.5585910414644294,0.28858688115379283,0.1101095548467619,0.03480793232561365,0.007349882124531965,0.000554708084870337
1.04,70.5,1.03,49,0.6569515755562267,0.15,0.6624383368569415,0.9917173252279635,72.7,0.5494815262257122,0.292962851102386,0.11753750125843149,0.032366857948253294,0.006443169233866908,0.0012080942313500453
1.18,75.3,1.1,66,0.725725020547141,0.1,0.5506633791241047,1.317910447761194,72.6,0.5036984853821769,0.32206175883527066,0.1276270987436891,0.038687331219913114,0.007279558529998826,0.0006457672889515088
1.06,73,1.1,77,0.7298701298701299,0.15,0.6651205936920223,1.097350069735007,77.7,0.5090644049827723,0.3109992048767559,0.12997614630267693,0.041690962099125366,0.007500662602703419,0.0007686191359660748
1.08,73,1.07,61,0.6848098822621116,0.19,0.6586566299942096,1.0397069597069597,75.5,0.5301100173711639,0.3059254970082996,0.12130862767805443,0.0352248600656244,0.006562439683458792,0.0008685581933989577
1.15,72.6,1.15,79,0.7197907771135781,0.15,0.636528608027327,1.1308066409525406,79.9,0.5205486763450042,0.2989432109308284,0.13071093082835183,0.040697053800170795,0.008166097352690008,0.0009340307429547396
1.08,71.8,1.14,67,0.6963930073025005,0.17,0.6916353175481301,1.0068788993760998,76.5,0.529431290108431,0.30172604558530647,0.12082319097145386,0.04027439699048462,0.006527992918787342,0.0012170834255366232
1.12,72.1,1.15,73,0.7320574162679426,0.13,0.6191387559808612,1.1823802163833075,74.8,0.5004784688995215,0.3186602870813397,0.13779904306220095,0.03636363636363636,0.004784688995215311,0.0019138755980861245
1.12,72.7,1.12,69,0.7040914611164621,0.13,0.6355375015704176,1.1078676858197154,76,0.5234725072239206,0.3032790317852506,0.12814606976841575,0.03660119770509653,0.007789270907491938,0.000711922609824532
1.1,71.8,1.15,70,0.69620767756548,0.19,0.6809919275219235,1.0223435101483882,78.2,0.5317962715604855,0.29664905046750684,0.12462976944073408,0.03821360125442825,0.007898251931006446,0.0008130553458388989
1.13,72.6,1.16,72,0.7003419245467345,0.17,0.6463523259489125,1.0835296732607247,79.1,0.5275407292474786,0.3000028733155188,0.12593741918800103,0.03841622848605005,0.007298221417693877,0.0008045283452575927
1.23,74.6,1.25,91,0.7678135799959341,0.16,0.6065257166090668,1.2659208982738395,85.6,0.4885393372636715,0.3208985566171986,0.13628278105305958,0.04380971742224029,0.009427729213254727,0.0010418784305753202
1.12,71.2,1.17,78,0.7144108628996934,0.19,0.671484888304862,1.0639269406392695,81.2,0.520124592397917,0.3034019564899985,0.1276098700540225,0.040395191512142894,0.007738355964374361,0.0007300335815447511
0.98,70.1,1.09,60,0.6700419270627324,0.16,0.6811565540700893,0.9836827129667267,76.4,0.5443596234475121,0.29275769322047307,0.11998655169685943,0.035143580412942015,0.007060359148801519,0.0006921920734119136
1.03,69.4,1.08,52,0.6519673243920137,0.16,0.6831215036397257,0.9543943806750043,74.6,0.5537298410692133,0.2882990426702245,0.11761814479320272,0.0337523114013529,0.0058282423987079555,0.0007724176672986448
1.07,72,1.06,60,0.6779163203103352,0.17,0.6634524799113328,1.0218008686936184,75.8,0.5370462732058742,0.2996397894153505,0.11970074812967581,0.03640897755610972,0.006372956497644777,0.0008312551953449709
1.09,71.9,1.14,60,0.6771062581118447,0.16,0.6625472603126235,1.0219742781705137,74.6,0.5483324868799729,0.2831104339484228,0.1218328536764291,0.03730037808250099,0.008690254500310366,0.0007335929123638621
1.11,73.4,1.02,63,0.7061058093208561,0.11,0.6099014793539023,1.157737492404294,72.9,0.5176503289168906,0.31081874054170916,0.12724296612001607,0.03706105809320856,0.006516569381389172,0.0007103369467864974
