rating,kast,impact,firepower,kpr,apr,dpr,kd,adr,0kpr,1kpr,2kpr,3kpr,4kpr,5kpr
1.02,68.8,1.01,48,0.6406597383796081,0.17,0.67933405718422,0.9430702488773879,75.2,0.5577271082157076,0.2909622046429864,0.11175740654568016,0.03257328990228013,0.00643710252830774,0.0005428881650380022
1.02,70.3,1.05,47,0.6454028567466371,0.19,0.7068367771460269,0.9130861290955464,73.8,0.5585910414644294,0.28858688115379283,0.1101095548467619,0.03480793232561365,0.007349882124531965,0.000554708084870337
1.04,70.5,1.03,49,0.6569515755562267,0.15,0.6624383368569415,0.9917173252279635,72.7,0.5494815262257122,0.292962851102386,0.11753750125843149,0.032366857948253294,0.006443169233866908,0.0012080942313500453
1.18,75.3,1.1,66,0.7255524212505877,0.1,0.5507757404795487,1.317328211694409,72.6,0.5037023977433004,0.3220498354489892,0.12770333803479078,0.03872825575928538,0.007169722614010343,0.0006464503996238834
1.11,72.7,1.11,75,0.7216953678660687,0.14,0.668218699715841,1.0800286914642894,77.7,0.5155602725187443,0.3067205313430792,0.12770036632544762,0.04142558800369749,0.007668869184155568,0.0009243726248758944
1.08,73,1.07,61,0.6848098822621116,0.19,0.6586566299942096,1.0397069597069597,75.5,0.5301100173711639,0.3059254970082996,0.12130862767805443,0.0352248600656244,0.006562439683458792,0.0008685581933989577
1.15,72.6,1.15,79,0.7197907771135781,0.15,0.636528608027327,1.1308066409525406,79.9,0.5205486763450042,0.2989432109308284,0.13071093082835183,0.040697053800170795,0.008166097352690008,0.0009340307429547396
1.08,71.8,1.14,67,0.6963930073025005,0.17,0.6916353175481301,1.0068788993760998,76.5,0.529431290108431,0.30172604558530647,0.12082319097145386,0.04027439699048462,0.006527992918787342,0.0012170834255366232
1.12,72.7,1.12,69,0.7040914611164621,0.13,0.6355375015704176,1.1078676858197154,76,0.5234725072239206,0.3032790317852506,0.12814606976841575,0.03660119770509653,0.007789270907491938,0.000711922609824532
1.1,71.8,1.15,70,0.69620767756548,0.19,0.6809919275219235,1.0223435101483882,78.2,0.5317962715604855,0.29664905046750684,0.12462976944073408,0.03821360125442825,0.007898251931006446,0.0008130553458388989
1.13,72.6,1.16,72,0.7003419245467345,0.17,0.6463523259489125,1.0835296732607247,79.1,0.5275407292474786,0.3000028733155188,0.12593741918800103,0.03841622848605005,0.007298221417693877,0.0008045283452575927
1.23,74.6,1.25,91,0.7678135799959341,0.16,0.6065257166090668,1.2659208982738395,85.6,0.4885393372636715,0.3208985566171986,0.13628278105305958,0.04380971742224029,0.009427729213254727,0.0010418784305753202
1.12,71.2,1.17,78,0.7144108628996934,0.19,0.671484888304862,1.0639269406392695,81.2,0.520124592397917,0.3034019564899985,0.1276098700540225,0.040395191512142894,0.007738355964374361,0.0007300335815447511
1.06,69.9,1.11,59,0.6660052245554104,0.17,0.6836380990656084,0.9742072969100195,76.8,0.546292575102984,0.2921983321611574,0.1192354064101276,0.03441173515522958,0.007208881744197729,0.000653069426303627
1.03,69.4,1.07,51,0.6488044354346286,0.16,0.6819969225508634,0.9513304444364861,74.3,0.5557726595510832,0.2866668294946633,0.11774906577436925,0.03331460811371907,0.0057885352807561736,0.0007083017854089832
1.07,72,1.06,60,0.6779163203103352,0.17,0.6634524799113328,1.0218008686936184,75.8,0.5370462732058742,0.2996397894153505,0.11970074812967581,0.03640897755610972,0.006372956497644777,0.0008312551953449709
1.09,71.9,1.14,60,0.6771062581118447,0.16,0.6625472603126235,1.0219742781705137,74.6,0.5483324868799729,0.2831104339484228,0.1218328536764291,0.03730037808250099,0.008690254500310366,0.0007335929123638621
